epoch,train_loss,val_loss,acc,lr
1,0.010885600826110352,0.0222128551453352,0.5793701171875,0.0001
2,0.0016705000730739398,0.001150180632248521,0.693310546875,0.0001
3,0.0011165643624157053,0.0009863616898655892,0.710302734375,0.0001
4,0.0010009495467370884,0.0009539645630866289,0.7267333984375,0.0001
5,0.0009532466541383077,0.0008508685394190251,0.76689453125,0.0001
6,0.0009304675318575887,0.0008667950052767992,0.7608154296875,0.0001
7,0.0008937889202074571,0.0008777478244155646,0.76708984375,0.0001
8,0.0008634916660164229,0.0008639130392111838,0.757568359375,0.0001
9,0.0008817897469270974,0.0008469399064779282,0.7739501953125,0.0001
10,0.0008549477537268434,0.0008785892045125365,0.7262939453125,0.0001
11,0.0008665393305074593,0.0008304325398057699,0.7724609375,0.0001
12,0.0008554398518754169,0.0008277599350549281,0.767822265625,0.0001
13,0.0008392448269825599,0.0008166353101842106,0.7868408203125,0.0001
14,0.0008422132073478265,0.0008377206395380199,0.7835693359375,0.0001
15,0.0008375755688493056,0.0008286423864774406,0.7810546875,0.0001
16,0.0008554623504592614,0.0008302531903609633,0.767724609375,0.0001
17,0.0008171601141591302,0.0008733936818316578,0.7689208984375,0.0001
18,0.000834039583093148,0.0008846526383422315,0.7507080078125,0.0001
19,0.0008389621652895585,0.0008179788128472865,0.775537109375,0.0001
20,0.000833750486807813,0.0007651772000826895,0.7981201171875,0.0001
21,0.0008255798523102633,0.0008735237526707352,0.7566650390625,0.0001
22,0.0008503791323164478,0.0008705398766323924,0.7854736328125,0.0001
23,0.0008432721700625156,0.0007919199764728546,0.79873046875,0.0001
24,0.0008382242112103003,0.0008364373818039895,0.799755859375,0.0001
25,0.0008312014886707237,0.0008020274457521736,0.799169921875,0.0001
